hour_of_day,avg_temp
0,26.89147058823529
1,25.904042553191484
2,24.241777777777784
3,26.584047619047617
4,24.175454545454553
5,24.6906976744186
6,24.358888888888877
7,25.59
8,23.66612244897959
9,24.494375
10,26.302000000000003
11,24.669756097560974
12,24.2965625
13,24.423404255319152
14,26.083225806451612
15,23.506086956521745
16,24.97355555555556
17,25.610454545454544
18,25.154285714285713
19,24.59085714285715
20,25.47823529411765
21,26.438235294117646
22,24.305306122448975
23,25.45921568627451
